trip_id,duration_minutes,distance_miles,hard_braking_events,speeding_events,night_driving_minutes,distraction_score
1fb8fdab-9d44-464d-b3ea-535b8c0621db,14.4,6.5,1,0,2.5,0.14
a46d992c-5e21-445a-ac1f-0ccbe7ca0036,34.7,23.4,0,0,0.8,0.24
e65508b3-e96a-4d1b-a7a4-bb17af06f505,30.5,16.9,0,0,6.5,0.0
8184e07d-ac54-4863-9e62-3d89decde5cb,28.3,14.8,1,0,2.2,0.19
2d9a8f8c-075b-459f-a769-26473a6c2194,25.7,13.8,1,1,1.3,0.22
141d17b0-7659-4a9e-bfe1-2eae39fb5e31,30.7,14.9,1,0,3.0,0.03
80882edb-77b4-4377-b5ff-b784494c9efc,14.8,8.5,1,0,1.2,0.01
4edf5b45-0cb6-4045-ac9e-2bce25a04bd0,24.9,7.4,2,0,2.0,0.18
974f9678-a23a-4f34-a8d7-787cf7cf7f13,34.5,17.8,2,0,8.1,0.14
1fcb936b-3768-4482-a2c0-70f83a3e499f,18.2,12.5,1,0,0.1,0.06
9f1ec871-762e-4eb6-9927-c3cd8dcee0f0,11.6,6.4,0,0,1.5,0.18
23f89c3d-076e-4bdf-9f40-ceca30c42710,24.3,10.4,2,0,1.8,0.17
89f60a22-e097-4105-8bdc-8c8c4db0c658,30.1,19.4,0,0,3.2,0.18
3842ad48-c92e-4092-bb78-fb6d0a0f89a3,16.6,6.8,0,0,1.7,0.17
a3c439a5-b1cf-4ea1-a321-c6cb7b6acc34,34.4,22.6,1,0,1.7,0.18
c457e135-ee19-4a25-843e-cec9e1d402e4,19.3,11.2,0,0,2.8,0.19
8cb66680-a43a-4174-960d-6f37e293ed98,22.3,15.2,0,0,1.2,0.1
c3334bee-b2cc-44c3-a06e-a75aa0f32253,11.2,3.6,0,0,0.2,0.19
a38f400c-7087-4f03-9439-488beb81e091,14.9,6.2,0,1,2.4,0.08
49d21638-ecb2-4f76-bed3-7ace2178e9dc,48.9,30.0,3,0,2.3,0.83
67748618-1b22-4887-8555-59b21ad1be2a,29.3,17.1,0,0,3.3,0.23
7608535c-7ff2-4cf2-a25a-f28b79d6b279,43.3,30.2,2,1,1.2,0.43
6826e616-45db-410c-a153-d9340c202a29,29.1,20.4,4,3,5.8,0.56
bffe2771-ad90-48b0-8231-9ebf66123c65,34.7,17.9,0,0,4.0,0.17
8a536318-4bbc-47b5-bc01-226b03527376,50.4,25.5,4,3,7.0,0.66
5253a814-0a7c-4db4-9a0b-43ed431c7909,21.4,12.3,0,0,3.9,0.2
d98a71ce-edd8-4eec-96c7-5c9723303a39,29.1,13.4,1,0,1.0,0.02
ad824c70-22f0-4ceb-a305-fa7014b46e33,30.1,14.0,4,0,1.1,0.57
4ccd8ef2-b168-4306-9507-1b9653a23b3d,22.9,10.8,0,0,3.9,0.0
76725cd2-7636-4d3c-a473-25ed5b012f1f,38.3,16.1,1,0,1.3,0.1
5431da8e-6e45-47ac-893a-7a6f18c72110,11.8,7.6,0,0,0.7,0.08
472ce810-6ecf-48eb-997c-414540dca7a6,12.3,9.2,0,0,2.8,0.09
7d4d7c5c-0751-4f0d-bef3-40640e280f26,59.9,29.2,4,2,5.5,0.69
1afd61aa-5aa0-4f01-a931-4b1745bae9e4,31.2,21.2,0,0,4.4,0.15
