trip_id,duration_minutes,distance_miles,hard_braking_events,speeding_events,night_driving_minutes,distraction_score
3fee31ca-f65d-4c2b-b159-9d9276878fdf,16.2,15.7,3,2,2.2,0.69
15f0cdf6-fb3b-4cc3-9c71-02db29cd1cdb,22.9,14.5,1,0,7.0,0.0
8c8d9ba2-e103-45d9-9e68-46ad7afbe701,21.3,11.3,1,0,3.3,0.18
fa3fc164-aad2-44f8-ad55-934986152796,42.3,33.9,2,2,11.5,0.61
497fd5e1-d381-4c88-9f92-6f741b69192f,23.1,11.8,1,0,3.4,0.29
ef4981e9-72a6-4ebf-a0b4-5c434253cb01,49.3,29.3,4,3,8.6,0.6
6412998c-ee2d-4a4b-9ef3-c5d1c66d71fc,27.0,10.2,0,0,3.7,0.01
d14d547f-3fa6-4967-b781-1e3ac4a47d65,12.6,5.8,1,0,4.1,0.12
7a0857d3-6fbe-4dcd-ab12-21fcf6f8a6b2,29.0,18.0,0,0,8.2,0.02
18b8b57b-a029-43dd-8c16-4e1446c4b276,34.3,14.7,1,0,1.2,0.01
3eb0c858-9c6d-414c-b30d-28cb1086cc98,30.1,15.3,0,0,1.6,0.1
b3118f3f-0c99-4e47-a984-c72355c002d5,24.7,10.8,0,0,0.8,0.12
5c0f5589-908a-4baf-9646-f8fb672e750d,21.6,10.7,0,1,6.4,0.05
12e8ff62-5b7a-49c9-8334-5fb40fd27883,29.2,11.5,1,0,2.8,0.16
dff7c5a3-8c20-4136-aa60-c934848fb9f5,27.7,14.2,0,1,5.6,0.01
3f1f984f-e12e-4603-91a2-c59f0f4cfba0,8,5.6,1,0,3.3,0.28
28701dd6-f3b0-40de-bf98-9eccc1593ec4,19.3,11.6,0,0,9.1,0.21
91d075b7-5f83-4637-8490-407788d68499,62.7,54.7,1,1,33.8,0.89
09b627f3-b62d-4de9-a88f-7ae4abdf119d,14.8,7.1,0,1,3.2,0.22
d7f515e5-9b0f-4ee3-83cb-1d423af06448,36.4,26.0,2,1,13.1,0.07
09e09d3a-0204-453f-8406-42af8cfb36a4,21.8,12.9,0,0,4.3,0.3
21ca4199-6c48-4dc8-a86c-b2fab3ff630f,27.3,13.1,0,0,1.7,0.0
fee7dd68-2c3b-455c-b7b4-a8dd8e75c7af,44.4,30.1,3,2,3.5,1.0
048601e6-fa91-4641-9e2a-377e4d6e7646,23.4,14.7,0,0,5.0,0.24
e69f4da4-219c-4549-952e-1185897f1bf2,13.4,6.7,0,1,4.5,0.16
0faff3d7-a648-4649-a5b1-4e0f14d57dac,18.5,14.9,5,2,4.6,0.7
563b4748-da1d-4b79-934e-8f40e1e8e007,52.5,41.0,3,0,14.6,0.84
7f686acf-b7fb-4c29-bfed-4c3c7a8532b5,25.1,15.1,0,1,8.7,0.13
908fc689-9c55-42f4-bca2-a2e31e9a9562,20.5,11.0,0,0,0.5,0.0
d30ddf2a-cbd0-4827-9566-8a344a96141d,32.2,15.2,1,0,4.1,0.13
159516a3-5286-4171-b828-f66215ec92d2,26.3,9.6,0,0,4.2,0.18
42b4ec6e-dd5a-45a2-b779-d5f3aa3fef07,8.9,2.8,0,0,3.2,0.22
ce25dda5-2eb4-4eeb-a67d-fa1373fa2e4e,16.7,4.9,1,0,7.4,0.1
f2afda29-55a0-4b93-9c69-0806e5686267,36.5,20.0,2,0,1.1,0.28
d73131e1-9081-412e-8d2a-375289bd39ec,22.5,14.6,2,1,6.5,0.67
10bd0494-0ee9-4f83-a089-a7c530f12a69,25.2,9.9,1,0,3.1,0.07
5640afcc-3e98-468f-9675-7ae5560cea75,26.5,17.3,0,0,13.4,0.06
e7907338-afb4-4378-8148-12cbcd33d4ed,15.2,7.6,0,0,6.4,0.23
060bbcb6-dc3b-4322-a09f-ad5a3fec2e8e,45.3,38.8,4,1,1.9,0.67
55f92e51-13b6-452b-a126-fb5d80073db2,47.8,29.0,2,1,3.1,0.73
d9e1ec28-73d7-44c4-a94e-006cc813ac2e,35.7,20.6,0,0,4.7,0.01
696178d1-a394-4612-8af5-874104ae5753,32.6,18.0,0,0,6.0,0.01
d469c8c1-892f-402a-be36-254fa0f3bf25,33.0,18.7,1,0,9.8,0.05
8e9e87b1-34dd-416d-bfe2-7eb7ac391250,31.9,15.3,0,0,12.2,0.16
8a13bdc1-e6fe-4f14-a67c-25a043a4d3fa,23.2,14.9,3,2,3.3,0.82
3c14e57a-ffc4-41d3-a77b-461a46931dd1,41.4,35.9,4,1,10.8,0.57
5d7f7c8b-d656-4cd2-8b51-d833b150f60c,35.9,34.0,4,1,6.7,0.85
d423c9b3-8f6c-45e7-bca6-1261b0fb24a0,26.2,15.7,0,1,6.4,0.16
6c80cf8f-782d-4494-929c-19970eca60b6,26.6,16.3,0,0,1.4,0.01
a4ef1c80-6c9f-4b0d-afa5-04b6d896a3a5,45.8,41.5,3,2,3.7,0.67
a45d4011-9a1c-420a-88b5-58ac0642f99f,41.8,29.6,2,1,11.9,0.52
6dacc2e3-84bb-401b-8063-71e3418c7ee8,51.5,33.2,5,3,0.6,0.64
cb19c899-b490-408a-ac05-7355138b2416,37.9,28.1,2,1,14.0,0.8
ab2673d3-b114-4f73-90c8-47221a1b0386,27.3,19.1,4,2,7.1,0.7
c1f8ba6e-58e9-436f-a7d6-ac854f028435,23.0,7.2,0,1,9.0,0.12
06b68916-0b60-4413-8943-851655630293,25.0,7.6,0,0,6.6,0.25
88bd36b6-efb8-448e-b0a0-f1c062dedb70,22.0,13.1,0,0,3.6,0.3
79460405-b05f-4ab3-9929-14f02321fef6,38.2,29.3,3,0,9.6,0.48
76fd7328-1f19-4730-8ea9-b97ea385487f,37.4,18.8,0,0,2.8,0.28
d815e98d-8fcd-4730-a0c2-17225d1a934a,24.0,12.5,0,0,9.0,0.11
86dfb9c5-294c-4bcb-b9b5-8a0012aa0ca0,14.6,10.0,3,2,2.0,0.63
f2b6aa7b-190d-4981-8804-432f8f65fa3e,27.8,15.5,0,0,1.7,0.1
7849c9db-4612-4b7c-931d-092279d0f6b6,13.8,9.7,1,0,3.2,0.0
2bdfd4d2-b4ea-427f-b7f7-3831f06a0571,10.3,6.1,5,0,5.3,0.53
9a2e4a98-a100-4598-846f-54c97aa54d30,22.8,12.6,1,0,8.0,0.0
b6aedd85-2a35-43f2-bad8-a9d7f1c5cbbc,30.4,21.2,4,3,7.1,0.75
b34a1f75-2db1-44db-8c2b-e404a39b9b74,22.9,10.8,0,0,2.3,0.0
2c8a5b4b-b207-4b99-a732-884815f464c1,30.1,15.5,1,0,2.6,0.11
a22a5e56-cc40-408f-8bd1-bb6c9beb6a87,8,5.4,0,0,3.3,0.07
2500f329-31f1-4380-9e83-2d77fd1f32ac,38.7,18.8,1,0,6.1,0.13
978ae087-9fd8-4208-8bff-1b8042efc0e6,69.8,52.8,4,0,45.8,0.45
a94ee406-4309-427f-a08b-c219985f1a9c,24.2,13.5,1,0,12.1,0.25
