trip_id,duration_minutes,distance_miles,hard_braking_events,speeding_events,night_driving_minutes,distraction_score
871e3f83-f42e-44de-bf0d-eeef8aeaf2ef,34.2,20.6,2,0,16.0,0.2
22876f65-c72c-439c-b355-61ee4402f588,56.3,43.5,5,3,39.6,0.79
79c1a59e-9aec-4893-8af2-51d58424b797,39.0,29.2,5,2,37.3,0.77
c6c0b496-53ca-4291-aaaf-0561806cfe99,10.5,4.0,1,0,7.5,0.43
059b72a1-7ee5-4f88-8753-781eb4d6717b,28.5,9.4,0,0,27.3,0.26
72bd8226-96f1-4074-9780-31c66faf3e99,10.3,5.7,0,0,7.1,0.23
dd1cc1c4-bc7d-438c-9a97-cf48b511d7cc,25.3,12.8,0,0,12.3,0.25
2c5cf455-4bf1-490f-8cd8-6e7d1c1d41b0,33.8,15.7,1,0,28.9,0.34
f333fb39-2eaa-42d0-b68c-6fd49d432dbf,50.0,31.0,4,3,48.0,0.69
c13b4316-607e-4af6-a61b-c2e12a15e7df,37.9,33.3,2,0,22.7,0.59
c866fc1e-10a7-4da0-92f9-5c70e79b4314,27.5,26.0,5,1,21.1,0.82
5055423a-145a-4797-a281-305c8d339a2a,21.3,10.0,0,0,18.5,0.08
2f4d580d-3433-434f-b0fa-2d9bb7333126,28.9,26.3,4,2,25.6,0.73
92d3713d-8aee-40bc-843e-ab16d5f0aaff,27.0,17.4,0,1,25.3,0.27
e6f49f9e-9fdf-48de-a2c9-cd5d77d5220e,16.5,14.3,2,1,10.1,1.0
8a4b39ad-5688-4e43-92c5-d2e312cce529,22.0,10.6,0,1,16.8,0.29
4576802b-19ba-41be-bd8a-97d4d0b50404,32.3,12.4,0,0,16.8,0.18
d9ccb1b1-67bb-40e1-bfa2-8fa2b0dc9a72,45.1,25.5,4,0,29.6,1.0
617940cc-ca58-4327-865b-2d4f805cf1ad,42.8,39.2,2,3,30.3,0.66
1466f273-5889-4b5d-828d-71b0e5eaeb86,12.4,6.7,0,0,7.2,0.27
21392caf-df58-4db8-abdf-e8310e872b64,32.2,21.7,3,2,30.3,0.7
de1f26e6-33aa-4cce-bd4f-d6b17cd4182f,60.2,47.6,5,3,41.0,0.62
0759f75d-7b2d-4010-af3e-1d16bc02cb5f,26.1,13.2,0,0,7.7,0.14
642476af-9476-4bc0-bf34-e79a775f6bcf,29.0,15.9,0,0,17.4,0.25
3450cad0-51c3-4574-a7e4-99c20cd71042,20.7,10.1,1,0,14.0,0.03
66b95b44-44ba-4c70-9137-b509dc2d9c82,19.2,10.2,0,0,12.5,0.44
7d0e2ad8-9dae-4ab3-b73e-e197c0746709,23.8,11.9,1,0,16.3,0.24
cb8b5647-86f9-4867-9417-8e453bf5d31a,20.3,11.1,2,0,19.7,0.21
879af849-fe60-42af-a59f-09e792ef134d,26.6,18.2,4,3,17.9,0.79
e1657d7b-1b53-49b8-aa23-74689c24593c,18.1,7.8,0,1,15.8,0.27
9f329d2f-9584-48b0-949b-7df42e4861cd,49.3,32.9,5,2,39.3,1.0
45f77d65-c548-4e21-9918-3bf355bb3319,58.8,30.4,3,2,40.5,0.5
d5ba30d0-327a-4f3e-8715-7c2a621939bc,65.7,68.2,2,2,35.3,0.99
6eceedab-6a31-48db-8736-7af01e72773d,26.8,19.9,1,3,20.0,0.69
6b343117-81cc-4653-adb7-e2a4ca55934f,37.6,18.6,4,3,35.8,0.65
83970c26-f930-4d59-bf1e-3fde3bc5d17f,26.9,14.4,0,0,20.1,0.15
68d29ec8-43d7-4477-958d-a1ec8b3aa932,38.8,40.1,5,1,32.3,0.76
7aec3fbd-1a9c-4e84-88c6-871ff0ea813a,33.0,10.1,1,0,21.4,0.09
4d06dc30-9ab6-4ab7-8a25-ba5f43d12acf,19.8,11.8,0,0,8.0,0.04
22cbbd61-fcf2-4a6f-905e-1e102465f708,55.6,43.7,4,1,36.6,0.73
7fae8340-9e35-454b-b792-c6a4b01d3828,30.1,24.9,3,3,16.3,0.65
bedfaa6b-1d8e-470e-a445-c0eeffc03817,29.5,25.5,3,2,7.3,0.81
9f2e318c-be48-4749-ab4c-bcafd30ee23d,31.2,18.9,1,0,29.2,0.11
f3838f58-9765-4269-a6f9-c108813d8255,68.6,43.9,1,2,54.7,0.83
9b1410bf-ceff-4904-9b47-e7b3ddd821df,18.2,10.2,0,0,11.8,0.41
7e757d6d-aa82-4cd5-8b50-1ca912be6be1,28.4,12.8,1,1,21.5,0.22
60a0b0cc-2ca6-4b60-8304-76273a6e6dc4,44.8,24.9,1,0,40.2,0.22
29b5a750-1e43-4a17-afe4-65efa0753119,14.4,5.9,0,0,12.0,0.06
1bcb8eec-c0fe-48a8-98a3-c3fbf4adbcd6,42.9,38.2,3,2,37.4,0.82
e3a50727-4873-467e-a1dd-1e83b9a6e5ff,13.7,5.3,0,0,6.1,0.32
c6841b4d-87ab-43d2-906e-59901e06f9b9,13.9,7.8,5,2,12.8,0.64
9e1bc0c2-402b-4598-af46-ae59c92dcd64,38.1,33.1,2,2,26.8,0.81
c324636b-094c-4862-a305-5149c7b7a33a,71.1,47.9,5,2,48.7,0.63
3365a7b5-4a21-459a-96f0-a2213e5d418a,54.2,35.0,3,0,30.2,0.6
d7f9283a-6ed1-4826-a53a-298299fc407a,32.1,18.2,1,0,20.8,0.21
02a5d9ec-f465-49e6-842e-e6a2184c88ac,25.4,15.1,0,0,20.4,0.1
f7f8085f-4baf-4346-ba72-49e170282e11,35.6,22.4,3,2,32.8,0.88
ea64e802-c53d-412b-bbe0-3ede6aeabd50,17.9,7.3,0,0,14.7,0.14
c26b7083-3c8d-45fe-aa36-636c3ccf01b4,16.9,10.0,0,0,11.6,0.35
4d849b22-5241-41b2-9fb8-c1f75f2a7a8a,8,6.5,0,1,4.8,0.33
c9225ae0-e819-49fd-9c6b-cd8ae334ebd1,23.3,13.1,0,0,20.6,0.3
2aa7552b-62ff-4269-bd7a-193fe1d72108,64.3,53.8,3,3,29.0,0.9
f0977829-4e37-4191-b8c6-c178ea818839,47.2,44.4,2,2,32.9,0.73
2e9d5164-e7f2-4e32-bfdc-b8391b321749,32.2,21.0,1,0,26.2,0.23
6db8424d-5c85-4acc-a32b-f025adba8457,24.1,9.2,0,0,13.8,0.26
62739dd8-52dd-4829-b670-7a1f7ecb04a9,37.3,16.1,0,1,37.0,0.24
154670e6-4280-419d-b054-c0ca80387664,28.3,26.4,5,2,14.0,0.95
f06b30d9-b895-4bc6-8f62-13a08431fdad,28.1,11.7,0,0,19.3,0.4
47c8b685-8ab7-4c92-b90c-d336bf2a4e71,11.2,4.3,1,1,9.1,0.11
59567b9a-dfe1-47b7-bd43-0d710c6e1336,52.5,30.4,4,2,49.4,0.62
d84b029a-b891-456e-905e-1874b58a67e3,22.3,14.5,5,1,11.9,0.52
c6094a75-5f44-443e-b8ee-4f2be9388c91,37.2,24.7,2,3,27.4,0.57
1023f8ef-8269-4a77-a518-189d447266c0,30.1,11.5,0,1,16.9,0.19
2ceaa8b2-a622-49ba-95eb-3f44931a4bc2,25.1,14.5,0,0,21.8,0.29
7cbe4b11-c47d-4521-baed-20f0c97bb9ea,36.3,28.1,5,3,26.0,0.76
c8d013b3-9f11-4b9f-8b12-f0b06aa3cc0c,22.6,9.4,0,0,14.2,0.3
c3fb7665-9741-4ea7-b7c1-2f12ef0a7585,25.4,11.8,0,0,18.9,0.46
41bea719-fb27-482a-b1e6-6bd3bd2844b3,13.3,6.4,0,1,11.2,0.37
73f3343d-9af4-43c2-9aba-95b396d4cca1,22.8,19.0,5,3,12.8,0.8
e44fc3d0-45a4-46af-85df-b40ef29e7a84,24.7,12.5,1,0,21.3,0.16
bc8baee8-3633-43b0-ad70-39ec61e64f89,18.1,5.7,0,0,14.7,0.25
154e2f47-43c2-4a72-9ea1-4443fad3e728,43.4,22.5,0,0,33.7,0.25
a1229033-5fff-4c10-972f-91bc1047486b,17.2,5.1,0,0,16.3,0.28
5638f53a-8409-49e1-ad11-419bcc46320b,8,3.7,0,0,3.4,0.27
d3a4acee-1c58-483f-8222-58897da4ea1c,56.2,35.1,4,2,29.2,0.99
1a8970c3-0bec-4d71-9a7d-4c9e083d2d65,16.1,9.6,1,0,12.8,0.29
d2def5b2-3cc0-4c1b-be4a-b3b6cfe96a9e,27.9,15.2,0,0,21.9,0.15
db8ba231-bf79-4515-9cb3-9b250047dbc4,67.1,58.8,3,1,61.5,0.38
644e7890-e1fb-48f0-98bb-c9c967ec160e,14.8,6.0,0,0,10.5,0.27
e38d28be-acf3-4588-88b8-79a2ef35a74b,28.6,9.9,0,0,21.0,0.34
68802f72-032f-4e53-8e7a-777438c66471,49.1,29.6,4,0,32.0,0.8
0781e487-4769-440d-85f4-f8cd2925b7fd,29.1,15.6,0,1,14.4,0.19
