trip_id,duration_minutes,distance_miles,hard_braking_events,speeding_events,night_driving_minutes,distraction_score
3a910862-ec01-426a-9ffa-4fd321c7c715,56.3,40.8,3,1,6.8,0.9
c10ed515-2d2b-4839-9e27-63da989ee19a,56.3,28.1,1,1,3.5,0.92
0eec30ab-b13c-46eb-9ac7-1f92ec971ad5,26.5,17.7,2,1,5.9,0.57
7a4ec29f-da59-4648-bc61-9dce947a6ac4,24.5,13.3,0,0,10.8,0.38
58ec1473-5c4c-4fb5-a14c-2cb3a6c39b2e,23.7,9.8,0,0,1.5,0.24
ab31520f-f927-4dc2-86e1-a4769708f0b9,14.8,6.6,0,0,3.8,0.3
4761131e-b83b-4ed3-b198-07d67e5c607c,27.5,12.6,0,0,2.1,0.42
e6eef80b-31bb-4995-966a-51e2d628523f,33.7,18.4,5,2,5.4,1.0
ec45ae3c-0477-4108-a095-d0652eae18a6,38.0,35.7,2,3,6.0,1.0
626f0ce3-63e0-4455-904f-3634c4b7988a,48.9,36.9,1,3,5.8,0.75
e361ce4c-24b6-4293-9d56-627f9ad2bc80,16.3,9.9,4,1,5.1,0.83
28ad5e9f-dc7b-4eef-8409-99eba4a0e7bd,36.3,28.2,3,0,14.8,1.0
cf96eac2-7e42-40b4-ae18-d86a300bf391,25.4,12.6,0,1,4.7,0.2
7fc4bd34-0e6b-4253-813e-be6e00765188,26.9,13.4,2,0,4.8,0.22
7d225f59-522b-4f48-bb35-b73ab3334068,24.5,14.4,0,0,8.2,0.23
a6f86ca2-dfa9-4b23-a350-bf2bb01e2e40,26.2,14.2,0,1,2.4,0.48
71119805-e9f4-43f2-9c13-83fc767065f0,10.9,5.1,0,0,3.7,0.31
9b48fffb-0842-4171-8a82-5390dca28d63,58.2,49.8,5,2,9.8,1.0
d7e5a847-1d05-4933-b4c5-d14ff8e5a653,18.0,11.2,2,1,0.4,0.29
7980ffc1-0039-459a-a23e-ce9d8cc8b224,58.4,32.3,3,2,8.6,1.0
9ac7c44d-b89c-40de-8381-20e2340a1598,32.6,16.0,0,0,2.9,0.42
958cf6f4-8e09-47e0-9768-c497f28a7462,19.8,9.9,0,0,8.3,0.38
38304564-cb6d-49e7-99a7-b1f0c8378673,41.4,19.5,3,3,11.8,0.68
02d0daee-013f-444c-8bae-3e273a80a0b1,20.2,6.9,0,1,7.4,0.36
10bdb49f-5376-42f6-814d-80f6cc526465,39.8,28.0,1,1,12.8,0.64
7bda1c1f-bb3d-4ca3-833a-7ed17a785b43,28.6,19.8,0,0,0.9,0.37
1bff8c18-a84a-411e-9633-5b7d1925afa5,24.2,17.0,5,2,6.0,0.93
7078ede7-2ee0-4b7b-8ec4-713e3848356a,23.0,15.0,2,0,8.3,0.3
33a38e62-bc18-4f8e-b40a-023592cf06a2,13.2,6.6,2,0,2.7,0.48
ab88604a-4def-4f4f-9062-024fed6d9d0c,38.0,28.8,3,0,0.7,1.0
55e46a8d-24e3-4865-939b-73c131477c0c,44.3,32.4,3,1,19.6,0.92
884d87a1-6319-463d-96fb-e7bc71df3882,13.9,5.7,0,0,1.2,0.36
17886586-0069-4818-befc-fb8a40c65a77,33.4,16.0,0,1,6.8,0.44
1e9453b8-f616-4555-8d57-363fa2037424,21.8,12.8,0,0,9.8,0.4
cb5e9190-9a1c-4dbf-9686-d74563354041,20.9,15.3,3,2,3.4,1.0
2afb2be5-8e65-49fe-adca-2619dad2cf67,56.5,39.3,4,2,9.0,0.66
51a7d412-acc5-4310-947a-eeae700fe423,18.5,11.0,1,0,1.7,0.38
35345f65-feb4-4cff-99ad-f053db446297,26.9,15.0,0,0,5.1,0.32
c2e603a9-7773-42c0-9831-204b1e16074c,41.2,33.5,1,2,6.4,0.94
fbebf385-66ee-47f4-bca9-1b812131e856,23.2,17.6,0,0,3.6,0.36
50d5d4b9-2c77-4d87-a700-cdf8d3d58e5f,20.6,20.4,5,3,1.1,0.81
bd296748-ad3f-4dfb-9e33-3590245c9d66,16.6,8.9,1,1,11.6,0.29
1d01818c-86d9-4979-a976-eb00fcd144e4,42.8,26.8,3,3,17.9,0.94
4d5537e1-4579-49d6-9a59-a84d4cb2f50f,64.9,41.6,4,0,22.9,1.0
80f9d7aa-f911-453a-934c-4589911c708e,36.8,23.8,3,1,11.8,0.93
fc8a0923-5b84-4e8f-8e33-81b1ed5ca9d4,27.5,14.7,1,0,0.9,0.26
2d96082a-c9d7-4eb5-a991-d0e8c6e5fde0,22.7,9.8,1,1,4.7,0.51
a4def89c-417f-4fba-b829-b763b25dc98d,20.3,11.1,0,0,10.0,0.51
d42ee40b-ed07-4e8c-b246-0566777b4a87,22.5,12.4,0,0,4.4,0.37
22851489-9605-4028-bd24-0bdc31a034ee,25.2,13.1,0,0,6.3,0.36
76ef0f7b-a802-4ebe-9a61-3e07660330bd,20.9,10.3,1,0,12.3,0.4
2492a796-cbc1-48b0-b55c-266f44a7880f,31.6,21.3,5,3,6.9,0.78
bb547ff7-a11e-4806-94dd-9461c95279a5,42.6,29.8,5,2,1.0,0.95
6abd262a-1843-4a84-b6fa-a1dea3176284,19.4,12.6,1,0,1.6,0.4
23eb9020-9e9f-4f88-bbec-4f846d7a455c,28.6,16.6,0,0,11.5,0.44
4d9c8aa9-16bf-409c-b401-be6349b6bb67,18.4,7.0,1,0,4.4,0.29
9408200d-9654-474e-bab4-da7f18e7c0f5,52.4,23.9,5,1,8.9,1.0
9dd9d503-09d9-40ce-9efa-34cf4a14caf8,17.8,9.5,0,0,4.3,0.28
0148cc0c-d9ae-495a-8667-a4dd420c75c2,38.4,24.6,0,0,13.7,0.38
b400e55a-c9fc-4a3f-9829-af2798c1eb74,24.0,13.3,0,1,9.6,0.33
60422cb0-9677-4daf-9dec-c61974a14109,17.5,8.0,0,1,0.8,0.43
